pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
252,"['Approach', 'None']",2,"[3, 4]","[2640, 23760]","[0.1, 0.9]",Child,Male,"차콜색 후드, 검정 바지, 검은색/흰색 운동화",3.9000000000000004,67.6377036462374,low
253,"['Approach', 'None']",2,"[3, 4]","[4800, 33280]","[0.12605042016806722, 0.8739495798319328]",Child,Male,"차콜색 후드, 검정 바지, 검은색/흰색 운동화",3.8739495798319328,66.85406901317548,low
254,"['Approach', 'Touch', 'Touch', 'Touch']",4,"[3, 5, 5, 5]","[2000, 63680, 95680, 4080]","[0.012088974854932301, 0.3849129593810445, 0.5783365570599613, 0.024661508704061894]",Child,Male,"차콜색 후드, 검정 바지, 검은색/흰색 운동화",4.975822050290136,100.0,high
257,"['Approach', 'None']",2,"[3, 4]","[7680, 83840]","[0.08391608391608392, 0.916083916083916]",Child,Female,"분홍색 상의, 분홍색 레이스 치마, 회색 바지",3.916083916083916,68.12153130035207,low
258,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[8400, 56800, 22240]","[0.09606587374199452, 0.6495882891125343, 0.25434583714547115]",Child,Female,"분홍색 상의, 분홍색 레이스 치마, 회색 바지",4.55352241537054,87.29661105973054,high
259,"['Approach', 'None']",2,"[3, 4]","[7440, 6000]","[0.5535714285714286, 0.44642857142857145]",Child,Female,"검정색 상의, 차콜색 바지",3.4464285714285716,53.99361354316746,low
260,"['Approach', 'Touch']",2,"[3, 5]","[4160, 4800]","[0.4642857142857143, 0.5357142857142857]",Child,Female,"검정색 상의, 차콜색 바지",4.071428571428571,72.79452510251578,high
261,"['Approach', 'Gesture']",2,"[3, 5]","[2080, 4160]","[0.3333333333333333, 0.6666666666666666]",Child,Male,"회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화",4.333333333333333,80.67300232738556,high
263,"['Approach', 'Touch']",2,"[3, 5]","[5840, 35600]","[0.14092664092664092, 0.859073359073359]",Child,Male,"회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화",4.718146718146718,92.24875019095344,high
264,"['Approach', 'None']",2,"[3, 4]","[10080, 16720]","[0.3761194029850746, 0.6238805970149254]",Child,Male,"회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화",3.6238805970149253,59.331629285689466,low
