,code,start,duration,A/C,M/F,appearance
164,"['Approach', 'Touch', 'Approach', 'None']","[1654640, 1659920, 1731760, 1738560]","[5280, 71840, 6800, 3440]",Adult,Female,"{'분홍색 아이 가방, 파란색 상의, 검정색 바지'}"
165,"['Approach', 'None']","[1440840, 1448600]","[7760, 3440]",Adult,Female,"{'검정색 가방, 검정색 상의, 검정색 바지'}"
166,"['Approach', 'None']","[1594120, 1601960]","[7840, 9440]",Adult,Female,"{'검정색 가방, 검정색 상의, 검정색 바지'}"
167,"['Approach', 'None']","[1658600, 1664840]","[6240, 24000]",Adult,Female,"{'검정색 가방, 검정색 상의, 검정색 바지'}"
168,"['Approach', 'None', 'Avoid']","[1737160, 1744040, 1747880]","[6880, 3840, 7040]",Adult,Female,"{'검정색 가방, 검정색 상의, 검정색 바지'}"
169,"['Approach', 'Touch']","[171800, 184200]","[12400, 2080]",Child,Female,"{'분홍색 상의, 분홍색 치마'}"
170,"['Approach', 'Touch', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'Gesture', 'None']","[2827400, 2833560, 2833560, 2840120, 2845800, 2856040, 2859240, 2862040, 2871960, 2874120, 2876440, 2878840, 2879720]","[6160, 6560, 134880, 5680, 10240, 3200, 2800, 8720, 2160, 2320, 3360, 4800, 0]",Child,Female,"{'분홍색 상의, 분홍색 치마'}"
171,"['Approach', 'Touch', 'None', 'Touch', 'None']","[2836160, 2847520, 2853680, 2855200, 2859040]","[11360, 6160, 1520, 3840, 9040]",Child,Male,"{'회색 조끼, 검정색 바지'}"
172,"['Approach', 'None', 'Touch']","[2871040, 2876160, 2890960]","[5120, 14800, 13120]",Child,Male,"{'회색 조끼, 검정색 바지'}"
173,"['Approach', 'Approach', 'Touch', 'None']","[2907680, 2910560, 2916160, 2961040]","[2880, 5600, 44880, 9120]",Child,Male,"{'회색 조끼, 검정색 바지'}"
174,"['Approach', 'Gesture']","[98880, 114240]","[15360, 4160]",Child,Male,"{'청록색 상의, 검정색 바지'}"
175,"['Approach', 'None']","[199960, 202760]","[2800, 2720]",Child,Male,"{'청록색 상의, 검정색 바지'}"
176,"['Approach', 'Touch', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[2942960, 2950640, 2954400, 2956960, 2959600, 2968880, 2978640, 2982640, 2986160, 2989440, 2991760, 3000160, 3003600]","[8000, 3840, 2560, 2640, 9280, 9840, 5440, 4800, 3280, 2320, 8400, 3440, 22400]",Child,Male,"{'청록색 상의, 검정색 바지'}"
177,"['Approach', 'None']","[111520, 118240]","[6720, 10880]",Child,Male,"{'빨간색 상의, 검정색 바지'}"
178,"['Approach', 'None']","[3018920, 3022760]","[3840, 3200]",Child,Male,"{'빨간색 상의, 검정색 바지'}"
179,"['Avoid', 'Approach', 'Touch', 'None', 'Touch', 'Avoid', 'Follow', 'Approach', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[9280, 18000, 23440, 33360, 34720, 39920, 44480, 51120, 57920, 60480, 69040, 96480, 100320, 107760, 111840]","[8720, 5440, 9920, 1360, 6080, 4560, 7640, 7360, 2320, 8560, 27440, 3840, 7440, 4080, 7200]",Child,Male,"{'청록색 상의, 검정색 바지'}"
180,"['Approach', 'Touch', 'Gesture', 'None', 'Touch']","[132240, 136720, 142920, 145080, 152080]","[4480, 6240, 2160, 7000, 5280]",Child,Male,"{'청록색 상의, 검정색 바지'}"
181,"['Approach', 'None', 'Avoid']","[29040, 32880, 40960]","[3840, 7600, 4400]",Child,Male,"{'빨간색 상의, 검정색 바지'}"
182,"['Approach', 'None']","[66560, 77360]","[10800, 43920]",Child,Male,"{'빨간색 상의, 검정색 바지'}"
183,"['Approach', 'None']","[139760, 146160]","[6400, 12000]",Child,Male,"{'빨간색 상의, 검정색 바지'}"
184,"['Approach', 'None']","[65760, 69840]","[4080, 49280]",Adult,Female,"{'회색 후드티, 검정색 바지, 흰색 운동화'}"
185,"['Approach', 'None']","[135120, 144880]","[9760, 11040]",Adult,Female,"{'회색 후드티, 검정색 바지, 흰색 운동화'}"
186,"['Approach', 'Touch', 'None', 'Touch', 'None']","[2332040, 2334680, 2347480, 2348760, 2354840]","[2640, 12800, 1160, 6080, 11840]",Adult,Male,"{'검정색 상의, 회색 바지'}"
187,"['Approach', 'Touch', 'None', 'Touch', 'None']","[2331800, 2335000, 2344600, 2357160, 2362440]","[3200, 9600, 12560, 5280, 3680]",Child,Male,"{'검정 상의(흰색 모자), 검정색 바지'}"
188,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[326960, 339200, 345040, 393760, 396160, 398400, 425200, 428400, 437280, 442640, 467920, 470240, 470880, 473680, 481440, 483920, 505840, 531440]","[12240, 5840, 48720, 2400, 2240, 26800, 3200, 8880, 5360, 25280, 2320, 640, 2800, 7760, 2480, 21920, 25600, 6080]",Adult,Male,"{'검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화'}"
189,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Touch', 'None']","[331280, 341760, 349840, 352000, 354000, 390000, 392880, 399200, 399440, 403120, 406000, 410240, 413680, 418800, 418960]","[10480, 8080, 2160, 2000, 36000, 2880, 6320, 240, 3680, 2880, 4240, 3440, 5280, 2800, 0]",Adult,Female,"{'크로스백, 차콜색 자켓, 청바지'}"
190,"['Approach', 'None', 'Touch', 'None', 'Touch']","[535840, 537920, 544720, 553520, 563280]","[2080, 6800, 8800, 9760, 4320]",Adult,Female,"{'크로스백, 차콜색 자켓, 청바지'}"
191,"['Approach', 'Gesture', 'Approach', 'Touch', 'Approach', 'Gesture', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Gesture']","[321600, 322560, 324800, 337440, 339680, 341760, 367520, 391520, 395760, 397840, 400640, 451120, 456640, 496640, 509840, 514080, 529920, 532960, 534640, 540160, 542320, 545360, 555680, 562720, 570960, 576880]","[960, 2240, 12640, 2240, 2080, 25760, 24000, 4240, 2080, 2800, 50480, 5520, 40000, 13200, 4240, 15840, 3040, 1680, 5520, 2160, 3040, 10320, 7040, 8240, 5920, 5760]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
192,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Touch']","[17200, 28080, 29280, 31680, 32560, 34880, 49760, 53600, 65040, 68160, 70320, 73080, 81360, 84720, 86880, 97680]","[10880, 1200, 2400, 880, 2320, 14880, 3840, 11440, 3120, 2160, 2760, 8280, 3360, 2160, 10800, 2400]",Adult,Male,"{'검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화'}"
